numero_saliente,numero_entrante,fecha_tiempo,tiempo_segundos
(636) 1133234,(462) 1957853,2019-09-13 12:22:37,1939
(570) 6207945,(581) 2812391,2019-04-04 03:03:56,1225
(291) 5185327,(531) 9281928,2019-10-22 11:18:33,2989
(243) 3167219,(570) 5034926,2019-04-13 11:54:36,789
(542) 4546760,(567) 2828533,2019-05-03 20:25:18,1865
(249) 7029277,(295) 8985580,2019-09-23 06:24:47,319
(916) 5096404,(376) 2884045,2019-04-24 08:30:37,246
(996) 9736898,(969) 2964664,2019-09-02 15:31:42,2342
(207) 4248725,(456) 8645080,2019-11-15 20:30:18,630
(729) 4815293,(763) 9893406,2019-08-22 07:42:54,2279
(188) 3501714,(464) 3997111,2019-01-14 04:57:34,121
(534) 4568556,(792) 9326352,2019-06-09 05:23:38,1046
(892) 1686376,(249) 7615536,2019-03-02 22:11:17,2444
(310) 6945801,(164) 9416529,2019-04-20 07:44:28,1683
(741) 8134173,(712) 6154466,2019-01-12 02:12:28,210
(780) 2506688,(246) 9160852,2019-08-10 12:18:32,512
(677) 3634048,(650) 1143542,2019-03-09 14:08:49,2166
(770) 5974145,(270) 5953021,2019-01-20 09:19:34,608
(251) 5430038,(570) 1985179,2019-03-20 13:05:08,3447
(823) 1821952,(835) 1658609,2019-08-10 07:35:24,2504
(302) 9131957,(738) 3350982,2019-09-30 18:05:45,1176
(787) 2744903,(435) 1451178,2019-07-27 09:08:10,989
(723) 1155427,(810) 5853913,2019-04-09 19:24:35,2467
(368) 3851791,(631) 8084245,2019-07-31 18:03:27,556
(285) 1009067,(219) 1745803,2019-11-25 18:22:30,3054
